texto,sentimiento,categoria
Excelente atención y muy buena disposición en el servicio. Recomendado.,1,1
Los productos son de alta calidad y siempre llegan a tiempo. Muy satisfecho.,1,1
Me encanta el diseño y la funcionalidad de la aplicación. Es intuitiva y fácil de usar.,1,1
"Estoy muy contento con el producto, superó mis expectativas en todos los sentidos.",1,1
"El servicio postventa fue excelente, resolvieron mi problema de inmediato.",1,1
"Muy mala experiencia con la compra, el producto llegó en mal estado.",0,1
El servicio al cliente fue poco profesional y no resolvieron mis problemas.,0,1
"Me siento decepcionado, la calidad no es como la prometen en la publicidad.",0,1
Tardaron demasiado en responder y no solucionaron mi inconveniente.,0,1
"No recomendaría este servicio, tuve problemas desde el principio.",0,1
"La exposición de arte fue increíble, muy bien organizada y con grandes obras.",1,2
"El evento cultural superó mis expectativas, hubo mucho talento en cada presentación.",1,2
El museo cuenta con exhibiciones interactivas y muy educativas. Ideal para la familia.,1,2
"La programación del festival fue variada y atractiva, disfruté cada actividad.",1,2
"Asistir al concierto fue una experiencia única, la música y el ambiente fueron excelentes.",1,2
"El evento cultural fue una decepción, estuvo mal organizado y el audio fue terrible.",0,2
"La exposición no fue interesante, muy pocas piezas y mala distribución.",0,2
El museo no tiene muchas actividades y es bastante aburrido.,0,2
"No disfruté el festival, la programación fue monótona y poco atractiva.",0,2
"La calidad de las presentaciones fue baja, esperaba mucho más.",0,2
"El nuevo programa educativo es excelente, los estudiantes están motivados.",1,3
Las clases interactivas han aumentado el interés de los alumnos en aprender.,1,3
La plataforma educativa es muy completa y fácil de usar.,1,3
Las actividades extracurriculares complementan muy bien la educación formal.,1,3
"El colegio ha mejorado sus instalaciones, es un ambiente cómodo y moderno.",1,3
"Las instalaciones de la escuela están en pésimas condiciones, requieren mantenimiento urgente.",0,3
Falta de recursos en el colegio afecta la calidad de la educación.,0,3
La plataforma educativa es lenta y difícil de navegar.,0,3
Los estudiantes no reciben suficiente apoyo en sus estudios.,0,3
El material de estudio está desactualizado y es poco útil.,0,3
"Me encantó el servicio que recibí, realmente excelente.",1,1
"El producto superó mis expectativas, muy recomendado.",1,1
Todo el proceso de compra fue rápido y eficiente.,1,1
El equipo de atención al cliente fue muy amable.,1,1
La entrega fue puntual y el producto llegó en buen estado.,1,1
El servicio al cliente fue pésimo y no resolvió mi problema.,0,1
No estoy satisfecho con la calidad del producto.,0,1
El proceso de compra fue confuso y lento.,0,1
La entrega tardó mucho más de lo esperado.,0,1
El producto llegó dañado y no cumplen con el reemplazo.,0,1
La exposición de arte fue inspiradora y bien organizada.,1,2
El museo cuenta con una colección impresionante.,1,2
El evento cultural fue enriquecedor y entretenido.,1,2
La obra de teatro superó todas mis expectativas.,1,2
La feria cultural mostró una gran diversidad de tradiciones.,1,2
La exposición estaba desordenada y sin organización.,0,2
El museo estaba vacío y sin actividades interesantes.,0,2
El evento cultural fue aburrido y sin nada especial.,0,2
La obra de teatro careció de emoción y profesionalismo.,0,2
La feria cultural fue decepcionante y sin variedad.,0,2
